-13.877,20.128,84.037,21,0.0
-6.146,19.923,190.52,18,0.0
-9.74,7.645,160.163,17,0.0
2.547,11.608,40.58,0,1.0
-8.617,25.734,147.949,52,1.0
-5.96,9.517,40.387,57,1.0
-1.363,10.909,33.049,36,0.0
7.674,16.047,63.5,30,0.0
-4.064,27.97,128.836,48,0.0
-8.659,3.72,90.503,3,1.0
-6.015,29.427,118.327,22,0.0
-3.761,1.138,157.708,5,1.0
-14.572,25.933,170.719,45,0.0
6.133,11.805,136.846,3,1.0
7.249,9.978,188.612,32,0.0
6.449,2.137,79.685,30,0.0
-2.327,2.409,71.067,59,1.0
-4.525,18.936,39.398,0,1.0
-8.869,23.488,172.116,39,0.0
-12.152,4.972,73.782,36,0.0
-8.363,1.207,129.656,12,0.0
0.625,18.842,62.419,2,1.0
-3.516,18.171,133.396,10,1.0
9.679,11.88,11.761,11,1.0
-14.323,24.536,155.38,34,0.0
-2.881,15.546,66.078,36,0.0
-9.325,13.926,139.277,39,0.0
-3.3,6.363,27.808,14,0.0
-5.413,10.315,11.921,1,1.0
-3.086,2.589,137.884,27,0.0
-7.12,13.781,5.947,24,0.0
-0.884,6.874,123.488,8,1.0
-5.855,18.216,37.608,53,1.0
2.294,28.321,194.665,35,0.0
7.49,16.772,50.032,11,1.0
-1.009,15.91,31.044,23,0.0
-13.117,20.03,169.09,14,0.0
-10.668,5.152,147.707,40,0.0
1.374,33.904,14.471,57,0.0
-11.67,0.083,9.802,5,1.0
-0.086,14.624,95.316,55,1.0
-12.605,22.011,103.705,31,0.0
1.757,9.652,3.788,38,0.0
3.915,11.026,57.793,46,0.0
3.176,22.768,65.699,5,0.0
-15.91,30.245,67.684,12,0.0
-13.841,2.729,2.981,10,0.0
-0.854,16.972,101.739,32,0.0
3.039,14.812,176.864,32,0.0
-15.573,1.929,167.353,50,0.0
-1.998,14.102,54.393,9,1.0
-13.902,28.907,166.834,20,0.0
-15.559,4.756,28.633,42,0.0
3.612,18.932,54.548,22,0.0
2.526,26.607,195.832,55,1.0
5.288,2.807,65.433,26,0.0
0.031,3.326,136.516,49,1.0
-1.217,27.282,120.786,40,0.0
9.515,33.004,97.134,50,1.0
-12.807,18.499,52.699,48,0.0
4.146,14.646,32.626,27,0.0
7.148,12.664,5.61,41,0.0
3.275,30.783,123.028,29,0.0
-11.367,6.623,180.19,28,0.0
2.542,4.553,192.87,11,1.0
1.478,30.104,116.166,42,0.0
-7.307,24.978,86.138,12,0.0
-3.943,25.196,106.625,8,1.0
-4.08,21.265,6.685,46,0.0
8.928,27.587,55.988,20,0.0
-6.895,20.935,148.796,16,0.0
-12.079,17.941,113.365,45,0.0
1.356,32.491,77.846,48,0.0
-6.434,21.273,69.135,45,0.0
8.958,13.628,19.521,57,1.0
2.841,4.723,13.538,2,1.0
-6.058,15.554,154.358,39,0.0
3.077,4.422,66.921,52,1.0
-7.867,26.712,135.666,45,0.0
4.136,18.306,37.629,13,0.0
-4.94,31.244,19.659,21,0.0
-7.101,4.491,53.775,36,0.0
-1.063,19.078,0.394,52,1.0
-3.011,11.071,67.589,35,0.0
0.68,13.925,104.562,39,0.0
7.894,20.002,93.575,30,0.0
6.438,24.05,193.786,52,1.0
-8.061,25.88,15.39,51,1.0
9.304,0.186,165.806,21,0.0
0.904,18.544,119.754,8,1.0
-15.1,21.54,35.435,5,0.0
-10.547,24.325,154.06,35,0.0
-5.394,20.328,128.458,19,0.0
8.872,20.589,18.485,2,1.0
-2.652,28.201,118.31,11,1.0
-8.6,32.342,31.375,36,0.0
-9.174,13.721,1.573,45,0.0
-8.645,12.884,136.035,40,0.0
